time_intervals,cerealia,cyperaceae,poeceae ,trees,crops,herbaceous_plants
-2800 to -2701,0,0.002293578,0.019701247,0.893152592,0.007158446,0.013725529
-2800 to -2701,0,0.240366972,0.00733945,0.711926606,0,0
-2800 to -2701,0,0.095833333,0.109375,0.392708333,0.010416667,0.001041667
-2800 to -2701,0,0.1,0.011965812,0.622222222,0.001709402,0.000854701
-2800 to -2701,0,0.084084084,0.06006006,0.705705706,0.033033033,0.024024024
-2800 to -2701,0,0.066401062,0.018592297,0.863213811,0.007968127,0.011952191
-2800 to -2701,0,0.010876083,0.056047821,0.85796696,0.001342383,0.009733443
-2800 to -2701,0,0.011012433,0.012433393,0.95062167,0.00035524,0.00035524
-2800 to -2701,0,0.260575296,0.025380711,0.678510998,0.000846024,0.001692047
-2800 to -2701,0.000481696,0.016253342,0.063623961,0.844449333,0.001412627,0.025785083
-2800 to -2701,0.001934236,0.003868472,0.001934236,0.880077369,0,0
-2800 to -2701,0,0.002829418,0.01744344,0.802380119,0.000323625,0.002122063
-2800 to -2701,0,0.041829336,0.078639152,0.496932515,0.001115449,0.001673173
-2800 to -2701,0.000188395,0.003484819,0.0171575,0.802667387,0.000401284,0.002156818
-2800 to -2701,0,0.003307189,0.010568383,0.794607757,0.001095433,0.002254919
-2800 to -2701,0,0.000915751,0.063186813,0.916666667,0.001831502,0.000915751
-2800 to -2701,0,0,0.001500375,0.433608402,0,0
-2800 to -2701,0,0.085492228,0.012953368,0.860103627,0.002590674,0.007772021
-2800 to -2701,0,0.004248088,0.042480884,0.916737468,0.000849618,0.011894647
-2800 to -2701,0,0.005709267,0.013337921,0.960051425,0,0
-2800 to -2701,0,0.018498065,0.006138425,0.762292541,0.000436872,0.001343285
-2800 to -2701,0,0,0.631578947,0.255060729,0,0.04048583
-2800 to -2701,0,0.01513573,0.010290312,0.80052499,0.001007049,0.001577062
-2800 to -2701,0,0.019485581,0.020784619,0.763834762,0,0.001299039
-2800 to -2701,0,0.016507385,0.074717637,0.785403997,0.008688097,0.038227628
-2800 to -2701,0,0.040540541,0.008599509,0.683046683,0.002457002,0.004914005
-2800 to -2701,0,0,0.054545455,0.745454545,0.016161616,0.01010101
-2800 to -2701,0,0.030888031,0.011583012,0.911196911,0,0.003861004
-2800 to -2701,0,0.100320171,0.037353255,0.658484525,0.001067236,0
-2800 to -2701,0,0.017274981,0.056490956,0.865820035,0.001451157,0.000742942
-2800 to -2701,0,0.031007752,0.007751938,0.834625323,0.002583979,0.028423773
-2800 to -2701,0.000652742,0.182767624,0.102480418,0.632506527,0.004569191,0.016318538
-2800 to -2701,0,0.011228534,0.005284016,0.965653897,0,0
-2800 to -2701,0.001863729,0.003255314,0.030278197,0.83524865,0.001818039,0.006939748
-2800 to -2701,0,0.01461039,0.024688853,0.902191558,0.001488095,0.004464286
-2800 to -2701,0,0.017456359,0.034912718,0.374064838,0.004987531,0.511221945
-2800 to -2701,0,0.008746356,0.201166181,0.635568513,0.008746356,0
-2800 to -2701,0,0,0.044052863,0.196035242,0,0.105726872
-2800 to -2701,0,0.001302083,0.01953125,0.859375,0.006510417,0.001302083
-2800 to -2701,0,0.002998507,0.017982054,0.962529895,0.001501502,0.002998507
-2800 to -2701,0,0.0038753,0.010596739,0.917551471,0.000171527,0.001187993
-2800 to -2701,0,0.102795311,0.063119928,0.722272317,0.006311993,0.024346258
-2800 to -2701,0,0.014314928,0.040899796,0.895705521,0.00408998,0.006134969
-2800 to -2701,0,0.021212121,0.006060606,0.960606061,0,0.003030303
-2800 to -2701,0,0.004317789,0.004343911,0.955016626,0.000863558,0.001727116
-2800 to -2701,0,0,0.001663894,0.59733777,0,0
-2800 to -2701,0,0.010175243,0.043147132,0.858525366,0.001738855,0.01165621
-2800 to -2701,0,0.00862069,0.155172414,0.525862069,0.005747126,0.068965517
-2800 to -2701,0.001259446,0.018269902,0.172200114,0.683537773,0.003569312,0.004619732
-2800 to -2701,0.001669449,0.011686144,0.01836394,0.833889816,0.000834725,0.007512521
-2800 to -2701,0,0.063917526,0.051546392,0.81580756,0.006185567,0.010996564
-2800 to -2701,0.000626566,0.002833384,0.019756922,0.950460762,0.001572522,0.000621891
-2800 to -2701,0.001961848,0.002759796,0.022311535,0.936757906,0.003721549,0.006219833
-2800 to -2701,0,0.074220403,0.006845499,0.538775766,0.00175644,0.002392573
-2800 to -2701,0,0.018292683,0.009146341,0.801829268,0,0.009146341
-2800 to -2701,0.000706991,0.006320946,0.017590826,0.929454828,0.001067481,0.003909433
-2800 to -2701,0,0.003568879,0.034261242,0.701641685,0.004282655,0.009279086
-2800 to -2701,0,0.02955665,0.034482759,0.842364532,0.003284072,0.004926108
-2800 to -2701,0,0.007751938,0.016611296,0.954595792,0.00110742,0.002214839
-2800 to -2701,0,0.071428571,0.043956044,0.730769231,0.010989011,0.010989011
-2800 to -2701,0,0.004115226,0.016460905,0.95473251,0.00617284,0.004115226
-2800 to -2701,0,0.025906736,0.064766839,0.761658031,0.007772021,0.064766839
-2800 to -2701,0,0.01627907,0.003488372,0.956976744,0,0
-2800 to -2701,0.000659631,0.058047493,0.149076517,0.600923483,0.000659631,0.015831135
-2800 to -2701,0,0.001594843,0.021267881,0.822053803,0.000241196,0.001401162
-2800 to -2701,0,0.031518625,0.013753582,0.892836676,0.002292264,0
-2800 to -2701,0.002822872,0.095535714,0.127828884,0.509421597,0.0066348,0.023983886
-2800 to -2701,0,0.010928962,0.003278689,0.886338798,0,0.002185792
-2800 to -2701,0,0,0.010430248,0.872229465,0.01303781,0.001303781
-2800 to -2701,0,0.021035599,0.004854369,0.775080906,0,0
-2800 to -2701,0.002446982,0.180515375,0.055366572,0.241489827,0.002374912,0.035335404
-2800 to -2701,0,0.101772301,0.187504354,0.359685213,0.005622984,0.005247162
-2800 to -2701,0,0.056797324,0.260335249,0.43310968,0.008201982,0.161302594
-2700 to -2601,0,0.000416667,0.000833333,0.374583333,0,0
-2700 to -2601,0,0.020594966,0.009153318,0.913043478,0.006864989,0.006864989
-2700 to -2601,0.002237136,0.100671141,0.178970917,0.541387025,0.011185682,0.040268456
-2700 to -2601,0.003831418,0,0.030651341,0.896551724,0.019157088,0.011494253
-2700 to -2601,0,0.006698444,0.01407884,0.955011927,0.001521097,0.003281604
-2700 to -2601,0,0.00447611,0.019436047,0.617683336,0.001297471,0.003944442
-2700 to -2601,0,0.017241379,0.068965517,0.721264368,0,0.002873563
-2700 to -2601,0.000180832,0.440909645,0.124497315,0.236919725,0.017435287,0.038563974
-2700 to -2601,0.00273224,0.385245902,0.267759563,0.158469945,0.005464481,0.013661202
-2700 to -2601,0,0.010779117,0.074705162,0.459591921,0.000513347,0.001938661
-2700 to -2601,0.002695418,0.00663153,0.042163558,0.83543237,0.006738544,0.010353615
-2700 to -2601,0,0.045531197,0.086003373,0.403035413,0.010118044,0.003372681
-2700 to -2601,0,0.062874251,0.104790419,0.308383234,0.008982036,0.233532934
-2700 to -2601,0,0.322415558,0.0419652,0.500511771,0.002047083,0.004094166
-2700 to -2601,0,0.115749526,0.015180266,0.825426945,0,0.007590133
-2700 to -2601,0,0.055072464,0.250724638,0.384057971,0.01884058,0.007246377
-2700 to -2601,0.00014455,0.095554112,0.013107877,0.620693457,0.000802791,0.00032912
-2700 to -2601,0.002076624,0.069892384,0.054819539,0.712792798,0.013327427,0.0379924
-2700 to -2601,0.001694915,0.042372881,0.171186441,0.454237288,0.049152542,0.066101695
-2700 to -2601,0,0.118942731,0.095814978,0.732378855,0.008810573,0.003303965
-2700 to -2601,0.000259067,0.009757385,0.047725901,0.875647721,0.000921993,0.013911912
-2700 to -2601,0,0.008336228,0.02084057,0.933310177,0.000694686,0.001042028
-2700 to -2601,0,0.013066872,0.011529593,0.961568025,0.00076864,0.00076864
-2700 to -2601,0,0,0.006472492,0.980582524,0,0
-2700 to -2601,0,0.010660981,0.006396588,0.592750533,0.002132196,0.053304904
-2700 to -2601,0,0.232142857,0.136904762,0.238095238,0,0.053571429
-2700 to -2601,0.000722726,0.014573509,0.079188743,0.819252181,0.001082957,0.022651579
-2700 to -2601,0,0.001503143,0.017420819,0.828152639,0.002034118,0.002488688
-2700 to -2601,0,0.002206956,0.017229506,0.808835625,0.001138386,0.003125701
-2700 to -2601,0,0.003908224,0.011483005,0.605835733,0.000519305,0.001595348
-2700 to -2601,0.000943396,0,0.046226415,0.945283019,0,0.002830189
-2700 to -2601,0,0.248587571,0.050847458,0.661016949,0.011299435,0
-2700 to -2601,0,0.004347826,0.004347826,0.715942029,0,0
-2700 to -2601,0,0.004411765,0.010294118,0.947058824,0,0.013235294
-2700 to -2601,0,0.004411765,0.010294118,0.947058824,0,0.013235294
-2700 to -2601,0,0.066914498,0.007434944,0.866171004,0,0.007434944
-2700 to -2601,0,0.005366726,0.033989267,0.913237925,0,0.011627907
-2700 to -2601,0,0.006628788,0.015194723,0.954459039,0.001893939,0
-2700 to -2601,0,0.030643609,0.012731485,0.777273066,0,0.002012058
-2700 to -2601,0,0,0.601823708,0.32218845,0,0.021276596
-2700 to -2601,0.001324251,0.011452061,0.02169619,0.789490802,0.002366089,0.005498384
-2700 to -2601,0,0.004173623,0.009738453,0.763772955,0,0
-2700 to -2601,0,0.002159827,0.012958963,0.94600432,0.004319654,0.008639309
-2700 to -2601,0,0.002506266,0.101503759,0.327067669,0.00877193,0.020050125
-2700 to -2601,0,0.032967033,0.014652015,0.941391941,0,0.003663004
-2700 to -2601,0,0.011577424,0.06512301,0.849493488,0,0.002894356
-2700 to -2601,0,0.025352113,0,0.887323944,0.002816901,0.014084507
-2700 to -2601,0,0.003984064,0.005976096,0.974103586,0.001992032,0
-2700 to -2601,0,0,0.047745358,0.891246684,0.00265252,0.00530504
-2700 to -2601,0,0.004153686,0.015576324,0.917964694,0.001038422,0.020768432
-2700 to -2601,0.000671141,0.004265675,0.025036782,0.866170869,0.000671141,0.008133301
-2700 to -2601,0,0.147091109,0.045005488,0.605927552,0.009879254,0.003293085
-2700 to -2601,0,0.015625,0.0125,0.93125,0.003125,0.003125
-2700 to -2601,0,0.021582734,0.011990408,0.928057554,0,0.004796163
-2700 to -2601,0.006451613,0.025806452,0.151612903,0.664516129,0.006451613,0.070967742
-2700 to -2601,0,0.005865103,0.211143695,0.662756598,0.002932551,0.002932551
-2700 to -2601,0,0.000840336,0.017754108,0.850077611,0.00402505,0.002751164
-2700 to -2601,0,0.014662757,0.035190616,0.935483871,0,0.002932551
-2700 to -2601,0.000685401,0.004797807,0.009938314,0.899588759,0,0.001028101
-2700 to -2601,0.000662691,0.085487078,0.064280981,0.739562624,0.005301524,0.015241882
-2700 to -2601,0,0.006908463,0.005181347,0.96373057,0.001727116,0.001727116
-2700 to -2601,0,0.011779673,0.013255977,0.908533482,0.001673424,0.000869565
-2700 to -2601,0,0.015679443,0.003484321,0.489547038,0.00174216,0.00174216
-2700 to -2601,0,0.001420455,0.005179853,0.841373676,0,0.002673587
-2700 to -2601,0.002159827,0.006479482,0.181425486,0.548596112,0.002159827,0.047516199
-2700 to -2601,0,0.017467249,0.052401747,0.783842795,0,0.006550218
-2700 to -2601,0,0.007005254,0.014010508,0.875656743,0.000875657,0.007880911
-2700 to -2601,0,0.011325028,0.037372593,0.934314836,0.001132503,0.001132503
-2700 to -2601,0,0.00132714,0.01857996,0.683477107,0.00132714,0.00199071
-2700 to -2601,0.001205241,0.002337128,0.015467135,0.955798094,0.002997194,0.004903776
-2700 to -2601,0,0.044389489,0.014363534,0.728776505,0.000780031,0.006174956
-2700 to -2601,0,0.020958084,0.011976048,0.709580838,0,0.01497006
-2700 to -2601,0.000237756,0.003624021,0.017408864,0.935775611,0.002267878,0.002174574
-2700 to -2601,0,0,0.018867925,0.886792453,0.012578616,0.006289308
-2700 to -2601,0.001587302,0.036507937,0.025396825,0.806349206,0.006349206,0.015873016
